secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
102456,2019/04/01,10,-90,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-85,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-80,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-75,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-70,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-65,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-60,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-55,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-50,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-45,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-40,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-35,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-30,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-25,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-20,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-15,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,-10,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,10,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,15,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,20,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,25,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,30,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,35,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,40,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,45,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,50,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,55,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,60,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,65,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,70,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,75,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,80,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,85,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,10,90,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-90,0.126515,275.4258,13.17884,0.036718,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-85,0.114685,271.9656,9.942477,0.02469,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-80,0.108977,269.8282,8.050561,0.011664,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-75,0.108185,268.3722,6.890537,0.00481,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-70,0.109984,267.1977,6.071799,0.005094,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-65,0.114266,266.162,5.476645,0.005858,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-60,0.117363,265.0787,4.874393,0.004432,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-55,0.119384,263.9645,4.27866,0.004716,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-50,0.123534,262.841,3.797832,0.006746,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-45,0.129124,261.6353,3.375546,0.006197,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-40,0.132576,260.3446,2.910162,0.005917,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-35,0.136529,258.9391,2.475768,0.008168,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-30,0.142818,257.3078,2.093007,0.010214,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-25,0.150423,255.3783,1.727169,0.013096,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-20,0.160523,252.9594,1.379804,0.020179,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-15,0.175424,249.6451,1.050018,0.031343,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,-10,0.194896,244.901,0.711331,0.04258,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,10,0.109641,273.5783,0.385855,0.020848,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,15,0.105802,271.159,0.610778,0.012272,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,20,0.105473,269.5383,0.87426,0.005497,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,25,0.106495,268.2338,1.178377,0.003367,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,30,0.109289,267.1248,1.541773,0.005063,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,35,0.113997,266.1113,1.986915,0.005049,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,40,0.116678,265.0225,2.457899,0.003432,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,45,0.11848,263.9128,2.967874,0.004364,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,50,0.122683,262.7971,3.608352,0.0066,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,55,0.128199,261.5978,4.386003,0.005833,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,60,0.131575,260.3151,5.204329,0.005393,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,65,0.135552,258.9155,6.172112,0.007459,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,70,0.141681,257.2943,7.409032,0.009384,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,75,0.148881,255.388,8.94521,0.012729,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,80,0.158209,253.0192,10.96008,0.021407,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,85,0.171355,249.8378,13.80091,0.036828,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,30,90,0.188176,245.3442,17.94678,0.056441,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-90,0.118247,279.9735,17.7077,0.026233,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-85,0.11127,275.7741,13.8426,0.016779,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-80,0.108845,273.0848,11.52777,0.008272,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-75,0.109986,271.1477,10.03754,0.004727,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-70,0.11279,269.5007,8.918318,0.004744,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-65,0.11638,267.9514,7.984354,0.005031,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-60,0.119804,266.3923,7.12011,0.004908,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-55,0.122779,264.7951,6.295416,0.005362,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-50,0.126723,263.1606,5.571987,0.00646,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-45,0.131549,261.426,4.916826,0.006513,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-40,0.135795,259.5593,4.261456,0.006898,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-35,0.140745,257.5071,3.648583,0.008481,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-30,0.14715,255.1603,3.082556,0.010241,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-25,0.154876,252.3985,2.541792,0.013961,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-20,0.165581,248.9216,2.034597,0.022542,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-15,0.181563,244.1536,1.554078,0.036993,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,-10,0.203144,237.2753,1.060825,0.053821,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,10,0.106778,277.9786,0.529041,0.013712,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,15,0.105214,274.8534,0.854669,0.008012,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,20,0.106112,272.6634,1.237059,0.004627,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,25,0.108376,270.8846,1.685658,0.004308,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,30,0.111466,269.2916,2.209312,0.00486,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,35,0.115232,267.7756,2.820835,0.005155,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,40,0.1187,266.2368,3.5098,0.004875,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,45,0.121635,264.6548,4.273938,0.005315,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,50,0.125639,263.0338,5.180643,0.00645,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,55,0.130459,261.3087,6.254089,0.0065,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,60,0.134685,259.4506,7.458707,0.007038,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,65,0.139706,257.4012,8.89778,0.008588,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,70,0.146037,255.0576,10.67158,0.009947,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,75,0.153275,252.321,12.85492,0.012188,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,80,0.162332,248.9646,15.67775,0.015851,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,85,0.173606,244.6463,19.46986,0.019836,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,60,90,0.185855,238.9089,24.66926,0.022558,C,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,91,-90,0.112668,283.399,21.05806,0.013326,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,91,-85,0.109302,278.8647,16.95285,0.008788,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,91,-80,0.108899,275.7987,14.36923,0.005303,P,12486C10,DJX,9999,1,32768,,A,
102456,2019/04/01,91,-75,0.111164,273.4923,12.63364,0.004571,P,12486C10,DJX,9999,1,32768,,A,
