secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
102456,2018/04/02,10,-90,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-85,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-80,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-75,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-70,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-65,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-60,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-55,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-50,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-45,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-40,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-35,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-30,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-25,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-20,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-15,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,-10,,0,0,,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,10,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,15,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,20,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,25,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,30,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,35,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,40,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,45,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,50,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,55,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,60,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,65,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,70,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,75,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,80,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,85,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,10,90,,0,0,,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-90,0.316928,266.9375,31.41669,0.139186,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-85,0.26246,256.4509,21.30581,0.116527,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-80,0.217802,249.7499,14.88087,0.071525,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-75,0.201476,246.2913,11.80687,0.030827,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-70,0.200846,244.1313,10.18509,0.014407,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-65,0.204196,242.2818,8.979782,0.012726,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-60,0.208547,240.5069,7.942539,0.013006,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-55,0.213222,238.7342,7.005497,0.013388,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-50,0.218548,236.9272,6.156138,0.013677,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-45,0.224285,235.0429,5.368402,0.013738,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-40,0.230526,233.0408,4.632132,0.013987,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-35,0.237632,230.8657,3.943776,0.014418,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-30,0.245871,228.4415,3.296371,0.015734,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-25,0.256183,225.634,2.690056,0.01972,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-20,0.270469,222.1821,2.125681,0.030194,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-15,0.291721,217.5797,1.596442,0.048812,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,-10,0.32104,211.036,1.071438,0.070129,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,10,0.183619,253.2703,0.576825,0.026702,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,15,0.181822,249.8815,0.936077,0.0195,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,20,0.183894,247.4865,1.358135,0.016786,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,25,0.187526,245.4994,1.847076,0.016466,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,30,0.19141,243.6814,2.401953,0.016631,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,35,0.195777,241.9598,3.033746,0.016701,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,40,0.20018,240.2656,3.745969,0.016424,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,45,0.20458,238.5638,4.547622,0.016503,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,50,0.209646,236.829,5.467517,0.016631,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,55,0.214925,235.0199,6.516026,0.016719,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,60,0.220613,233.1006,7.723778,0.017035,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,65,0.226937,231.0223,9.134665,0.0172,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,70,0.233776,228.7276,10.79573,0.017459,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,75,0.241429,226.1264,12.79531,0.018118,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,80,0.249974,223.0882,15.25932,0.019283,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,85,0.258939,219.4268,18.36815,0.020531,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,30,90,0.267156,214.8142,22.44973,0.021351,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-90,0.230573,268.1977,32.55812,0.08008,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-85,0.206705,259.1292,23.99851,0.058652,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-80,0.19021,253.2923,18.66184,0.033829,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-75,0.184793,249.5999,15.5635,0.014665,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-70,0.186101,246.8665,13.55635,0.006834,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-65,0.189697,244.4398,11.97668,0.006342,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-60,0.194171,242.1063,10.61266,0.007056,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-55,0.199233,239.7778,9.391665,0.007837,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-50,0.204921,237.3946,8.280231,0.008717,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-45,0.21126,234.8987,7.252977,0.009634,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-40,0.218162,232.231,6.287391,0.010492,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-35,0.225296,229.3358,5.361886,0.011093,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-30,0.232322,226.1586,4.46479,0.01202,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-25,0.240187,222.5692,3.613259,0.015764,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-20,0.252907,218.1376,2.847103,0.026146,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-15,0.276648,211.9189,2.170459,0.043013,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,-10,0.309091,203.0419,1.480453,0.058831,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,10,0.16021,257.5341,0.708427,0.013454,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,15,0.161397,253.5963,1.168733,0.008673,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,20,0.164536,250.6687,1.708152,0.006776,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,25,0.168613,248.1886,2.333196,0.006608,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,30,0.172996,245.9088,3.047917,0.006746,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,35,0.177583,243.7222,3.861172,0.007007,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,40,0.1824,241.5643,4.786028,0.007291,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,45,0.187435,239.3842,5.837758,0.007633,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,50,0.192808,237.1396,7.039959,0.008131,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,55,0.198578,234.7851,8.421481,0.008707,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,60,0.204717,232.2713,10.01615,0.00926,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,65,0.210961,229.5495,11.85601,0.009496,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,70,0.216862,226.577,13.97154,0.009539,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,75,0.222634,223.2733,16.451,0.010424,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,80,0.229815,219.411,19.54174,0.013038,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,85,0.240067,214.5582,23.67584,0.015488,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,60,90,0.251015,208.2842,29.2511,0.014535,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-90,0.214737,273.7383,38.0618,0.050247,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-85,0.198733,263.9594,28.93106,0.038569,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-80,0.187165,257.3801,23.00241,0.023367,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-75,0.183536,252.9729,19.34315,0.010834,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-70,0.185244,249.6096,16.87212,0.006073,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-65,0.188943,246.6109,14.90655,0.006178,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-60,0.193453,243.7314,13.20625,0.006934,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-55,0.198561,240.866,11.68635,0.007744,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-50,0.204286,237.94,10.30301,0.008633,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-45,0.210658,234.8831,9.02478,0.009579,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-40,0.217585,231.6239,7.823254,0.010424,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-35,0.224668,228.0971,6.669105,0.01092,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-30,0.231462,224.2462,5.546441,0.011521,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-25,0.238685,219.9409,4.475267,0.01451,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-20,0.250011,214.7227,3.506461,0.023442,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-15,0.271722,207.5132,2.655596,0.037596,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-10,0.301759,197.3261,1.800414,0.048991,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,10,0.158446,262.5533,0.858199,0.00993,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,15,0.160211,257.7559,1.420289,0.006903,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,20,0.163609,254.1586,2.078311,0.006096,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,25,0.167785,251.0986,2.839415,0.006232,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,30,0.172245,248.2872,3.709387,0.006451,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,35,0.176875,245.5916,4.698343,0.006708,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,40,0.181714,242.9339,5.821796,0.007032,C,12486C10,DJX,9999,1,32768,,A,
