gvkey,iid,datadate,tic,div
001447,01,2019/04/01,AXP,
001447,01,2019/04/02,AXP,
001447,01,2019/04/03,AXP,
001447,01,2019/04/04,AXP,0.3900
001447,01,2019/04/05,AXP,
001447,01,2019/04/08,AXP,
001447,01,2019/04/09,AXP,
001447,01,2019/04/10,AXP,
001447,01,2019/04/11,AXP,
001447,01,2019/04/12,AXP,
001447,01,2019/04/15,AXP,
001447,01,2019/04/16,AXP,
001447,01,2019/04/17,AXP,
001447,01,2019/04/18,AXP,
001447,01,2019/04/22,AXP,
001447,01,2019/04/23,AXP,
001447,01,2019/04/24,AXP,
001447,01,2019/04/25,AXP,
001447,01,2019/04/26,AXP,
001447,01,2019/04/29,AXP,
001447,01,2019/04/30,AXP,
001447,01,2019/05/01,AXP,
001447,01,2019/05/02,AXP,
001447,01,2019/05/03,AXP,
001447,01,2019/05/06,AXP,
001447,01,2019/05/07,AXP,
001447,01,2019/05/08,AXP,
001447,01,2019/05/09,AXP,
001447,01,2019/05/10,AXP,
001447,01,2019/05/13,AXP,
001447,01,2019/05/14,AXP,
001447,01,2019/05/15,AXP,
001447,01,2019/05/16,AXP,
001447,01,2019/05/17,AXP,
001447,01,2019/05/20,AXP,
001447,01,2019/05/21,AXP,
001447,01,2019/05/22,AXP,
001447,01,2019/05/23,AXP,
001447,01,2019/05/24,AXP,
001447,01,2019/05/28,AXP,
001447,01,2019/05/29,AXP,
001447,01,2019/05/30,AXP,
001447,01,2019/05/31,AXP,
001447,01,2019/06/03,AXP,
001447,01,2019/06/04,AXP,
001447,01,2019/06/05,AXP,
001447,01,2019/06/06,AXP,
001447,01,2019/06/07,AXP,
001447,01,2019/06/10,AXP,
001447,01,2019/06/11,AXP,
001447,01,2019/06/12,AXP,
001447,01,2019/06/13,AXP,
001447,01,2019/06/14,AXP,
001447,01,2019/06/17,AXP,
001447,01,2019/06/18,AXP,
001447,01,2019/06/19,AXP,
001447,01,2019/06/20,AXP,
001447,01,2019/06/21,AXP,
001447,01,2019/06/24,AXP,
001447,01,2019/06/25,AXP,
001447,01,2019/06/26,AXP,
001447,01,2019/06/27,AXP,
001447,01,2019/06/28,AXP,
001690,01,2019/04/01,AAPL,
001690,01,2019/04/02,AAPL,
001690,01,2019/04/03,AAPL,
001690,01,2019/04/04,AAPL,
001690,01,2019/04/05,AAPL,
001690,01,2019/04/08,AAPL,
001690,01,2019/04/09,AAPL,
001690,01,2019/04/10,AAPL,
001690,01,2019/04/11,AAPL,
001690,01,2019/04/12,AAPL,
001690,01,2019/04/15,AAPL,
001690,01,2019/04/16,AAPL,
001690,01,2019/04/17,AAPL,
001690,01,2019/04/18,AAPL,
001690,01,2019/04/22,AAPL,
001690,01,2019/04/23,AAPL,
001690,01,2019/04/24,AAPL,
001690,01,2019/04/25,AAPL,
001690,01,2019/04/26,AAPL,
001690,01,2019/04/29,AAPL,
001690,01,2019/04/30,AAPL,
001690,01,2019/05/01,AAPL,
001690,01,2019/05/02,AAPL,
001690,01,2019/05/03,AAPL,
001690,01,2019/05/06,AAPL,
001690,01,2019/05/07,AAPL,
001690,01,2019/05/08,AAPL,
001690,01,2019/05/09,AAPL,
001690,01,2019/05/10,AAPL,0.7700
001690,01,2019/05/13,AAPL,
001690,01,2019/05/14,AAPL,
001690,01,2019/05/15,AAPL,
001690,01,2019/05/16,AAPL,
001690,01,2019/05/17,AAPL,
001690,01,2019/05/20,AAPL,
001690,01,2019/05/21,AAPL,
001690,01,2019/05/22,AAPL,
001690,01,2019/05/23,AAPL,
001690,01,2019/05/24,AAPL,
001690,01,2019/05/28,AAPL,
001690,01,2019/05/29,AAPL,
001690,01,2019/05/30,AAPL,
001690,01,2019/05/31,AAPL,
001690,01,2019/06/03,AAPL,
001690,01,2019/06/04,AAPL,
001690,01,2019/06/05,AAPL,
001690,01,2019/06/06,AAPL,
001690,01,2019/06/07,AAPL,
001690,01,2019/06/10,AAPL,
001690,01,2019/06/11,AAPL,
001690,01,2019/06/12,AAPL,
001690,01,2019/06/13,AAPL,
001690,01,2019/06/14,AAPL,
001690,01,2019/06/17,AAPL,
001690,01,2019/06/18,AAPL,
001690,01,2019/06/19,AAPL,
001690,01,2019/06/20,AAPL,
001690,01,2019/06/21,AAPL,
001690,01,2019/06/24,AAPL,
001690,01,2019/06/25,AAPL,
001690,01,2019/06/26,AAPL,
001690,01,2019/06/27,AAPL,
001690,01,2019/06/28,AAPL,
002136,01,2019/04/01,VZ,
002136,01,2019/04/02,VZ,
002136,01,2019/04/03,VZ,
002136,01,2019/04/04,VZ,
002136,01,2019/04/05,VZ,
002136,01,2019/04/08,VZ,
002136,01,2019/04/09,VZ,0.6025
