PERMNO,date,TICKER,PAYDT,PRC,RET,BID,ASK,OPENPRC
10107,2018/04/02,MSFT,,88.52000,-0.030130,88.67000,88.75000,90.47000
10107,2018/04/03,MSFT,,89.71000,0.013443,89.71000,89.72000,89.57500
10107,2018/04/04,MSFT,,92.33000,0.029205,92.27000,92.28000,87.85000
10107,2018/04/05,MSFT,,92.38000,0.000541,92.37000,92.38000,92.43500
10107,2018/04/06,MSFT,,90.23000,-0.023273,90.21000,90.22000,91.49000
10107,2018/04/09,MSFT,,90.77000,0.005985,90.78000,90.80000,91.04000
10107,2018/04/10,MSFT,,92.88000,0.023246,92.88000,92.89000,92.39000
10107,2018/04/11,MSFT,,91.86000,-0.010982,91.86000,91.87000,92.01000
10107,2018/04/12,MSFT,,93.58000,0.018724,93.59000,93.60000,92.43000
10107,2018/04/13,MSFT,,93.08000,-0.005343,93.07000,93.08000,94.05000
10107,2018/04/16,MSFT,,94.17000,0.011710,94.16000,94.18000,94.07000
10107,2018/04/17,MSFT,,96.07000,0.020176,96.07000,96.10000,95.00000
10107,2018/04/18,MSFT,,96.44000,0.003851,96.44000,96.45000,96.22000
10107,2018/04/19,MSFT,,96.11000,-0.003422,96.10000,96.11000,96.44000
10107,2018/04/20,MSFT,,95.00000,-0.011549,95.00000,95.01000,95.91000
10107,2018/04/23,MSFT,,95.35000,0.003684,95.33000,95.36000,95.74400
10107,2018/04/24,MSFT,,93.12000,-0.023387,93.07000,93.08000,96.24200
10107,2018/04/25,MSFT,,92.31000,-0.008699,92.44000,92.45000,93.30000
10107,2018/04/26,MSFT,,94.26000,0.021125,94.25000,94.27000,93.55000
10107,2018/04/27,MSFT,,95.82000,0.016550,95.80000,95.82000,97.60000
10107,2018/04/30,MSFT,,93.52000,-0.024003,93.49000,93.52000,96.33000
10107,2018/05/01,MSFT,,95.00000,0.015826,94.97000,94.99000,93.21000
10107,2018/05/02,MSFT,,93.51000,-0.015684,93.50000,93.52000,94.99000
10107,2018/05/03,MSFT,,94.07000,0.005989,94.08000,94.09000,92.96000
10107,2018/05/04,MSFT,,95.16000,0.011587,95.15000,95.16000,93.32000
10107,2018/05/07,MSFT,,96.22000,0.011139,96.23000,96.24000,95.17000
10107,2018/05/08,MSFT,,95.81000,-0.004261,95.82000,95.84000,95.84560
10107,2018/05/09,MSFT,,96.94000,0.011794,96.94000,96.95000,96.01000
10107,2018/05/10,MSFT,,97.91000,0.010006,97.89000,97.90000,97.46000
10107,2018/05/11,MSFT,,97.70000,-0.002145,97.71000,97.72000,97.80000
10107,2018/05/14,MSFT,,98.03000,0.003378,98.03000,98.04000,97.92000
10107,2018/05/15,MSFT,,97.32000,-0.007243,97.31000,97.33000,97.24000
10107,2018/05/16,MSFT,2018/06/14,97.15000,0.002569,97.14000,97.15000,97.36000
