date,Greek Risk,k,Delta,Gamma,Theta,Rho,Simulated Value P&L
2019/4/2,-0.426022225,2.095338197,0.501761806,0.121906094,-15.98265731,-11.50909491,1.620808336
2019/4/3,0.056645113,2.074619805,0.526870209,0.128485388,-15.65802422,-11.52383173,2.721948829
2019/4/4,0.384729767,2.073185428,0.519504601,0.126749085,-16.41833825,-11.61290235,3.162688399
2019/4/5,0.07955632,2.072746968,0.509100724,0.126638662,-16.0722052,-11.64836042,2.42186187
2019/4/8,-0.283106522,2.073651224,0.512792847,0.121571949,-17.18584831,-11.61624215,2.22119301
2019/4/9,-0.501943611,2.070462806,0.522436122,0.122670213,-17.99212798,-11.50191323,0.977384848
2019/4/10,-0.045336087,2.070112401,0.525777843,0.120497868,-19.45010741,-11.55197988,2.797713318
2019/4/11,-0.077866595,2.068979381,0.526310748,0.117725673,-19.95882756,-11.54145602,2.705508132
2019/4/12,0.677450842,2.070111747,0.52463705,0.117274896,-21.6229249,-11.75037966,3.978168795
2019/4/15,-0.173317685,2.070683597,0.52957814,0.112273519,-21.96787349,-11.74647288,3.008527666
2019/4/16,0.091650732,2.071423062,0.537862201,0.118237982,-21.40366495,-11.78208924,3.33010995
2019/4/17,-0.094761598,2.071252799,0.537615041,0.113644256,-21.60535577,-11.76313144,3.705755175
2019/4/18,0.258590898,2.071360664,0.532227261,0.119487773,-20.05714564,-11.81114988,3.583408366
2019/4/22,-0.214354198,2.072826303,0.535871566,0.112178325,-20.63966416,-11.81599693,2.771882278
2019/4/23,0.373841819,2.072393269,0.533866883,0.122956825,-19.41205998,-11.90126606,3.677508781
2019/4/24,-0.208098094,2.0716499,0.537828615,0.120799304,-19.01446886,-11.82924911,2.922910567
2019/4/25,-0.415045245,2.072316149,0.545911075,0.11858682,-19.65510321,-11.79987772,2.072310772
2019/4/26,0.17681774,2.072922241,0.546268091,0.129287377,-19.00039911,-11.89443726,3.030928733
2019/4/29,-0.057459553,2.076040771,0.557494944,0.126602077,-18.83683259,-11.83778513,3.168649515
2019/4/30,0.040425757,2.075910734,0.557932317,0.140246931,-16.78615954,-11.83223353,3.1210396
2019/5/1,-0.494997339,2.077093212,0.567625079,0.139293763,-16.10266026,-11.72423948,1.781376615
2019/5/2,-0.374487404,2.077907505,0.568396046,0.145340147,-15.9324007,-11.68252655,1.677817273
2019/5/3,0.570088046,2.078678459,0.56861634,0.145803446,-16.06633726,-11.77850882,3.303082302
2019/5/6,-0.275002904,2.081605201,0.576862598,0.136847803,-16.70450432,-11.72393797,2.393768546
2019/5/7,-1.085244225,2.080840776,0.576141963,0.125748105,-15.55947846,-11.39852087,0.570325999
2019/5/8,-0.065451012,2.081768471,0.581067244,0.126970975,-16.04971109,-11.42048629,2.476872904
2019/5/9,-0.44473942,2.076665336,0.566345129,0.128679939,-14.59805474,-11.31930742,1.234777489
2019/5/10,0.306137521,2.076158739,0.544701149,0.140475723,-11.47897241,-11.38825135,1.736853518
2019/5/13,-1.103488739,2.07431204,0.537532351,0.125498715,-11.36108609,-11.04922161,-1.64938035
2019/5/14,0.587002064,2.077445914,0.548634489,0.134455793,-10.74998194,-11.16497428,2.371102004
2019/5/15,0.278984535,2.078250404,0.553474989,0.140456821,-11.29104989,-11.24801791,1.602195419
2019/5/16,0.654923508,2.075146086,0.541233304,0.152892312,-11.30412759,-11.37978471,2.285208658
2019/5/17,-0.254486216,2.074556835,0.534760193,0.147728095,-10.80898157,-11.31804431,1.019042695
2019/5/20,-0.250719967,2.075973418,0.540836161,0.1415522,-11.09577948,-11.26692582,1.4358769
2019/5/21,0.572505032,2.076973684,0.540957042,0.147384902,-11.28907035,-11.4184226,2.320522413
2019/5/22,-0.307247036,2.077787945,0.542607533,0.142857298,-12.1005643,-11.38171613,1.293149259
2019/5/23,-0.670076259,2.075239708,0.541617916,0.136178174,-11.82224934,-11.19967519,0.971552226
2019/5/24,0.225440091,2.073686946,0.532594293,0.144051227,-9.562744213,-11.21390803,1.925177635
2019/5/28,-0.578309191,2.074767907,0.533138668,0.133993038,-9.253769926,-11.07360015,0.432892622
2019/5/29,-0.54264209,2.074671826,0.533247138,0.130513859,-9.02764287,-10.96817969,0.258854992
2019/5/30,0.102569702,2.075347126,0.536330239,0.13092613,-9.654462502,-11.01603768,1.362062261
2019/5/31,-0.771886477,2.07225799,0.533431735,0.124655123,-9.212231421,-10.81795652,0.23185657
2019/6/3,0.81175964,2.091662424,0.501528056,0.118247231,-8.606024942,-10.82318207,1.038384693
2019/6/4,1.595865127,2.050977752,0.513254075,0.126812192,-8.498114471,-11.08318298,3.9178672
2019/6/5,0.589354179,2.04916027,0.507162685,0.126750974,-8.932097345,-11.18393765,2.154491231
2019/6/6,0.422956148,2.050326123,0.501532584,0.127837347,-8.235079138,-11.27403502,2.179440449
2019/6/7,0.747993155,2.049304456,0.498598404,0.130127048,-8.050249675,-11.3953641,2.714524484
2019/6/10,0.168866178,2.050144276,0.498203257,0.127091931,-8.418786245,-11.43004284,1.781408555
2019/6/11,-0.083556287,2.05099102,0.499766879,0.126791307,-8.511797777,-11.42304859,1.347123533
2019/6/12,-0.137979329,2.050538968,0.498646564,0.126944323,-8.70116913,-11.42080603,1.13764887
2019/6/13,0.242433715,2.049102198,0.492089146,0.131196981,-8.886426717,-11.48842185,1.797450011
2019/6/14,-0.039808043,2.046265739,0.48235124,0.125470365,-8.400391524,-11.44122726,1.555950527
2019/6/17,0.037875971,2.04612805,0.476713572,0.124973286,-9.120644628,-11.48333535,1.616696544
2019/6/18,0.99802214,2.045821097,0.476005617,0.121454393,-10.8742644,-11.69008125,3.395199063
2019/6/19,0.047085597,2.04598939,0.477019711,0.12018872,-11.02728171,-11.70721978,2.02637922
2019/6/20,0.698711128,2.045040247,0.477008992,0.121606675,-10.60222228,-11.8046608,2.992457657
2019/6/21,-0.11047698,2.044977492,0.478242122,0.124947017,-9.629519513,-11.76527327,1.735453264
2019/6/24,-0.033693984,2.045418086,0.481287186,0.123252712,-10.57099129,-11.78538727,1.819797655
2019/6/25,-0.452821023,2.046610233,0.484391329,0.120197726,-10.50448633,-11.68550813,1.443732133
2019/6/26,-0.07891632,2.046929552,0.488414998,0.116847982,-11.39150723,-11.69139601,1.879563616
2019/6/27,-0.107747415,2.048267992,0.489771832,0.116767712,-11.37426217,-11.69180649,1.712773879
2019/6/28,0.1928607,2.046540872,0.487069289,0.119078643,-11.66462258,-11.75863251,2.784037539
