date,Greek Risk,k,Delta,Gamma,Theta,Rho,Simulated Value P&L
2019/4/2,0.433986601,2.096628488,-0.578036292,0.125354344,-17.57025733,9.852673217,8.40001074
2019/4/3,-0.183934024,2.07580069,-0.531670977,0.130399446,-17.72899311,10.30018232,2.868229818
2019/4/4,-0.459359316,2.074364711,-0.537177475,0.12498246,-18.61248989,10.34398102,2.516319297
2019/4/5,-0.224118668,2.07344818,-0.545294063,0.115999308,-20.1560031,10.33326339,3.136183445
2019/4/8,0.168039303,2.074937684,-0.533744624,0.121006513,-20.22579715,10.32551354,3.952116726
2019/4/9,0.463043652,2.075081313,-0.52217801,0.119068471,-17.94656432,10.30177243,3.754714065
2019/4/10,-0.103910398,2.076584214,-0.520414327,0.119377453,-18.36986769,10.26172067,2.95789905
2019/4/11,-0.074921361,2.075764517,-0.519663556,0.120786589,-18.5734353,10.24685768,3.288713974
2019/4/12,-0.655477942,2.075989659,-0.522497438,0.112375922,-20.37725615,10.29045114,1.871506628
2019/4/15,0.009558539,2.077913285,-0.510356961,0.117163031,-19.33172067,10.29684776,3.239097839
2019/4/16,-0.224612224,2.080405517,-0.505226176,0.119080671,-17.70431074,10.3438711,2.660936798
2019/4/17,-0.063291525,2.084391165,-0.505337051,0.115631969,-18.11361549,10.32096229,3.323328848
2019/4/18,-0.354175319,2.084649817,-0.511341652,0.114071949,-17.56677884,10.36268029,2.85066003
2019/4/22,0.063503635,2.084718209,-0.513704579,0.117965628,-17.8773408,10.34316176,3.407671878
2019/4/23,-0.422562922,2.085256342,-0.509542911,0.12870693,-16.62063901,10.40915482,2.079483171
2019/4/24,0.069865593,2.100658902,-0.495372522,0.132254866,-15.20185036,10.40551549,2.762855813
2019/4/25,0.299190144,2.095840881,-0.491152849,0.133450546,-14.51755948,10.3542727,3.07242959
2019/4/26,-0.262208629,2.089061874,-0.497103792,0.129938079,-14.21035282,10.3901757,2.150572792
2019/4/29,-0.064958703,2.097755321,-0.484955507,0.135689443,-12.60285909,10.42270224,1.941866947
2019/4/30,-0.136823083,2.119156807,-0.489605673,0.145522453,-11.97428326,10.44666461,1.887420044
2019/5/1,0.424561313,2.097066287,-0.485318906,0.14664003,-10.07324455,10.41284392,2.947973
2019/5/2,0.274224479,2.092355045,-0.488892793,0.143104904,-10.2999887,10.38483883,2.704659929
2019/5/3,-0.450676128,2.095827804,-0.488679801,0.150068415,-10.14513776,10.43025705,0.468249021
2019/5/6,0.159408066,2.091750721,-0.490507335,0.142464676,-9.270103704,10.45155211,2.270715554
2019/5/7,1.533644136,2.084219678,-0.494460384,0.128053581,-8.17416228,10.38337007,4.649704525
2019/5/8,-0.02811818,2.087488501,-0.486683766,0.131308538,-7.440444123,10.37158031,1.07358577
2019/5/9,0.375956427,2.081363445,-0.496569355,0.129381952,-7.809758259,10.3031687,2.632310091
2019/5/10,-0.320631259,2.081728783,-0.513344708,0.137088641,-9.416943658,10.28833635,0.752694108
2019/5/13,2.166377037,2.078758687,-0.518491477,0.130126827,-10.35526733,10.08433555,4.646126564
2019/5/14,-0.477077901,2.084491774,-0.505726546,0.138485341,-8.277209109,10.17590629,0.062878963
2019/5/15,-0.285114325,2.088579176,-0.500366262,0.134866563,-7.899286943,10.19146435,0.016952137
2019/5/16,-0.511572278,2.08388527,-0.510098895,0.150682023,-8.933690238,10.22784976,0.222035679
2019/5/17,0.190695905,2.083536431,-0.514958703,0.149565934,-9.860567722,10.18072811,2.35033619
2019/5/20,0.180094066,2.08255187,-0.514569453,0.142667665,-9.931144132,10.16493971,2.348322733
2019/5/21,-0.48330224,2.084371611,-0.514707721,0.147367644,-10.20678633,10.18888113,0.494510498
2019/5/22,0.240824925,2.08515154,-0.514482482,0.1486261,-10.73856825,10.13666756,2.138944694
2019/5/23,0.808432676,2.090359343,-0.512689055,0.13550447,-10.05743876,10.10749742,3.881031084
2019/5/24,-0.26816426,2.079113153,-0.522739754,0.142101253,-10.12913927,10.11784505,0.974429864
2019/5/28,0.684844262,2.081259577,-0.523591829,0.140630968,-10.70552794,10.01909797,2.862994178
2019/5/29,0.621261983,2.077055331,-0.528285499,0.133081676,-10.02609361,9.972723051,3.217146457
2019/5/30,-0.166398267,2.094903754,-0.502663152,0.125360125,-10.66797746,9.985744818,1.748720439
2019/5/31,1.01450414,2.091349066,-0.505191649,0.122893955,-10.70495972,9.84962496,3.893518321
2019/6/3,-0.755352084,2.092394113,-0.5762577,0.119443115,-12.20884939,9.506298439,5.839311746
2019/6/4,-0.951409287,2.051953875,-0.522520049,0.125305169,-12.32583214,9.998715015,-0.682670332
2019/6/5,-0.54950184,2.050613407,-0.524148884,0.122908294,-13.33251997,10.05061442,0.981624626
2019/6/6,-0.449499296,2.051239826,-0.53049505,0.126572083,-14.07989607,10.09105304,1.667574595
2019/6/7,-0.654818752,2.049803621,-0.533736728,0.127234997,-14.16304327,10.17260422,1.187572197
2019/6/10,-0.255481826,2.050442759,-0.532080497,0.123730907,-14.8342839,10.20987642,2.072418832
2019/6/11,-0.0058782,2.050870998,-0.532634286,0.123155806,-15.23939155,10.19917455,2.805484334
2019/6/12,0.055930104,2.050837576,-0.532093027,0.122681673,-15.27699912,10.18486566,2.952457384
2019/6/13,-0.326669623,2.049635021,-0.535274249,0.120258359,-15.39855458,10.23329594,2.226694085
2019/6/14,-0.055102272,2.046450617,-0.545315136,0.125555394,-15.79923694,10.17239462,2.434841913
2019/6/17,-0.151346033,2.046788588,-0.545942863,0.119145515,-17.57539547,10.18215126,3.157962535
2019/6/18,-0.857111985,2.046792755,-0.546147183,0.119062095,-18.26145826,10.30458522,1.43015014
2019/6/19,-0.178102447,2.046238637,-0.547066376,0.119231994,-19.79490708,10.23215598,2.354537021
2019/6/20,-0.695912207,2.045213033,-0.546538328,0.122427083,-19.58818584,10.32529295,1.949129263
2019/6/21,0.011223876,2.045406881,-0.544565642,0.123637669,-18.79522791,10.36029738,3.757052153
2019/6/24,-0.085835452,2.045990803,-0.542457545,0.12023832,-19.35777539,10.37447715,3.280221413
2019/6/25,0.501926655,2.047098883,-0.542270619,0.118001032,-19.3113449,10.31852799,4.582618731
2019/6/26,-0.039609887,2.047492081,-0.539572106,0.114921845,-19.58276157,10.31439576,3.222053252
2019/6/27,-0.005646114,2.048837397,-0.540148782,0.11860926,-19.42427831,10.30920515,3.18540773
2019/6/28,-0.316056079,2.047264405,-0.541610694,0.116683299,-19.4124078,10.33602211,3.062226723
